"","month_of_analyst_forecast","monthly_returns","excess_returns","February","March","April","May","June","July","August","September","October","November","December","quartile_market_capitalization","quartile_feps","quartile_analyst_following"
"55","8",0.115942031145096,0.075942031145096,0,0,0,0,0,0,1,0,0,0,0,3,3,4
"56","9",-0.00324675324372947,0.00675324675627053,0,0,0,0,0,0,0,1,0,0,0,3,3,4
"57","10",-0.0827361568808556,-0.0127361568808556,0,0,0,0,0,0,0,0,1,0,0,3,3,4
"58","11",0.0357142873108387,0.0257142873108387,0,0,0,0,0,0,0,0,0,1,0,3,3,4
"59","12",0.0344827584922314,0.0244827584922314,0,0,0,0,0,0,0,0,0,0,1,3,3,4
"60","1",0.127201735973358,-0.00279826402664202,0,0,0,0,0,0,0,0,0,0,0,2,3,2
"61","2",-0.00388349522836506,-0.133883495228365,1,0,0,0,0,0,0,0,0,0,0,2,3,2
"62","3",0.0214424952864647,-0.0485575047135353,0,1,0,0,0,0,0,0,0,0,0,2,3,2
"63","4",0.0366412214934826,0.0366412214934826,0,0,1,0,0,0,0,0,0,0,0,2,3,2
"64","5",0.0537037029862404,0.0037037029862404,0,0,0,1,0,0,0,0,0,0,0,2,3,2
"65","6",-0.0509666092693806,-0.000966609269380594,0,0,0,0,1,0,0,0,0,0,0,2,3,2
"66","7",0.0522222220897675,0.0122222220897675,0,0,0,0,0,1,0,0,0,0,0,2,3,2
"67","8",-0.0194690264761448,-0.0494690264761448,0,0,0,0,0,0,1,0,0,0,0,2,3,2
"68","9",-0.0776173248887062,-0.0876173248887062,0,0,0,0,0,0,0,1,0,0,0,2,3,2
"69","10",-0.00156555767171085,-0.0415655576717108,0,0,0,0,0,0,0,0,1,0,0,2,3,2
"70","11",-0.0769230797886848,-0.0269230797886848,0,0,0,0,0,0,0,0,0,1,0,2,3,2
"71","12",0.100427351891995,0.000427351891994998,0,0,0,0,0,0,0,0,0,0,1,2,3,2
"72","1",0.0383944138884544,-0.0116055861115456,0,0,0,0,0,0,0,0,0,0,0,2,3,3
"73","2",-0.0517647042870521,-0.0517647042870521,1,0,0,0,0,0,0,0,0,0,0,2,3,3
"74","3",-0.0802139043807983,-0.120213904380798,0,1,0,0,0,0,0,0,0,0,0,2,3,3
"75","4",0.0251937992870808,0.0451937992870808,0,0,1,0,0,0,0,0,0,0,0,2,3,3
"76","5",0.0268431007862091,-0.0031568992137909,0,0,0,1,0,0,0,0,0,0,0,2,3,3
"77","6",0.0370370373129845,0.0370370373129845,0,0,0,0,1,0,0,0,0,0,0,2,3,3
"78","7",0.0178571436554193,-0.0021428563445807,0,0,0,0,0,1,0,0,0,0,0,2,3,3
"79","8",0.0599999986588955,0.0099999986588955,0,0,0,0,0,0,1,0,0,0,0,2,3,3
"80","9",-0.106489181518555,-0.126489181518555,0,0,0,0,0,0,0,1,0,0,0,2,3,3
"81","10",0.0130353821441531,-0.0169646178558469,0,0,0,0,0,0,0,0,1,0,0,2,3,3
"82","11",0.0242647062987089,0.0342647062987089,0,0,0,0,0,0,0,0,0,1,0,2,3,3
"83","12",0.00180505414027721,-0.0381949458597228,0,0,0,0,0,0,0,0,0,0,1,2,3,3
"84","1",0.146306306123733,0.106306306123733,0,0,0,0,0,0,0,0,0,0,0,2,4,2
"85","2",-0.0489731431007385,-0.0389731431007385,1,0,0,0,0,0,0,0,0,0,0,2,4,2
"86","3",-0.0481727570295334,0.0018272429704666,0,1,0,0,0,0,0,0,0,0,0,2,4,2
"87","4",-0.0506108216941357,-0.0706108216941357,0,0,1,0,0,0,0,0,0,0,0,2,4,2
"88","5",0.044485293328762,0.044485293328762,0,0,0,1,0,0,0,0,0,0,0,2,4,2
"89","6",0.0353982299566269,0.0553982299566269,0,0,0,0,1,0,0,0,0,0,0,2,4,2
"90","7",0.0700854733586311,0.0500854733586311,0,0,0,0,0,1,0,0,0,0,0,2,4,2
"91","8",0.0785942524671555,0.0385942524671555,0,0,0,0,0,0,1,0,0,0,0,2,4,2
"92","9",0.00892857182770967,0.0189285718277097,0,0,0,0,0,0,0,1,0,0,0,2,4,2
"93","10",0.0106194689869881,0.0006194689869881,0,0,0,0,0,0,0,0,1,0,0,2,4,2
"94","11",-0.0425219945609569,-0.0025219945609569,0,0,0,0,0,0,0,0,0,1,0,2,4,2
"95","12",0.0612557418644428,0.0512557418644428,0,0,0,0,0,0,0,0,0,0,1,2,4,2
"96","1",0.0652688667178154,-0.0147311332821846,0,0,0,0,0,0,0,0,0,0,0,4,2,3
"97","2",-0.0644444525241852,-0.0744444525241852,1,0,0,0,0,0,0,0,0,0,0,4,2,3
"98","3",0.0422919429838657,0.0122919429838657,0,1,0,0,0,0,0,0,0,0,0,4,2,3
"99","4",0.105366468429565,0.095366468429565,0,0,1,0,0,0,0,0,0,0,0,4,2,3
"100","5",-0.0565423183143139,-0.0165423183143139,0,0,0,1,0,0,0,0,0,0,0,4,2,3
"101","6",0.0201765857636929,0.0201765857636929,0,0,0,0,1,0,0,0,0,0,0,4,2,3
"102","7",-0.0744746550917625,-0.0544746550917625,0,0,0,0,0,1,0,0,0,0,0,4,2,3
"103","8",-0.0404006876051426,-0.0704006876051426,0,0,0,0,0,0,1,0,0,0,0,4,2,3
"104","9",-0.0192374680191278,-0.0392374680191278,0,0,0,0,0,0,0,1,0,0,0,4,2,3
"105","10",0.031027065590024,-0.018972934409976,0,0,0,0,0,0,0,0,1,0,0,4,2,3
"106","11",0.0833621695637703,0.0533621695637703,0,0,0,0,0,0,0,0,0,1,0,4,2,3
"107","12",-0.0372152663767338,-0.0472152663767338,0,0,0,0,0,0,0,0,0,0,1,4,2,3
"108","1",-0.210297837853432,-0.180297837853432,0,0,0,0,0,0,0,0,0,0,0,4,3,2
"109","2",0.0471328087151051,-0.0128671912848949,1,0,0,0,0,0,0,0,0,0,0,4,3,2
"110","3",0.0706766620278358,-0.0193233379721642,0,1,0,0,0,0,0,0,0,0,0,4,3,2
"111","4",-0.0568819865584373,-0.126881986558437,0,0,1,0,0,0,0,0,0,0,0,4,3,2
"112","5",-0.131049886345863,-0.011049886345863,0,0,0,1,0,0,0,0,0,0,0,4,3,2
"113","6",-0.13573881983757,-0.03573881983757,0,0,0,0,1,0,0,0,0,0,0,4,3,2
"114","7",0.110337935388088,0.000337935388088004,0,0,0,0,0,1,0,0,0,0,0,4,3,2
"115","8",-0.0825873166322708,-0.0125873166322708,0,0,0,0,0,0,1,0,0,0,0,4,3,2
"116","9",0.185221433639526,0.055221433639526,0,0,0,0,0,0,0,1,0,0,0,4,3,2
"117","10",0.0850537344813347,0.0350537344813347,0,0,0,0,0,0,0,0,1,0,0,4,3,2
"118","11",0.00114152627065778,-0.0388584737293422,0,0,0,0,0,0,0,0,0,1,0,4,3,2
"119","12",0.172571450471878,0.072571450471878,0,0,0,0,0,0,0,0,0,0,1,4,3,2
"120","3",0.0670946091413498,0.0270946091413498,0,1,0,0,0,0,0,0,0,0,0,1,2,1
"121","4",-0.059595413506031,-0.049595413506031,0,0,1,0,0,0,0,0,0,0,0,1,2,1
"122","5",0.125581383705139,0.085581383705139,0,0,0,1,0,0,0,0,0,0,0,1,2,1
"123","6",0.061983410269022,0.081983410269022,0,0,0,0,1,0,0,0,0,0,0,1,2,1
"124","7",0.0656614974141121,-0.0043385025858879,0,0,0,0,0,1,0,0,0,0,0,1,2,1
"125","8",0.19853949546814,0.20853949546814,0,0,0,0,0,0,1,0,0,0,0,1,2,1
"126","9",0.130236104130745,0.080236104130745,0,0,0,0,0,0,0,1,0,0,0,1,2,1
"127","10",0.0704177916049957,0.0404177916049957,0,0,0,0,0,0,0,0,1,0,0,1,2,1
"128","11",-0.150456428527832,-0.180456428527832,0,0,0,0,0,0,0,0,0,1,0,1,2,1
"129","12",0.025935560464859,-0.004064439535141,0,0,0,0,0,0,0,0,0,0,1,1,2,1
"130","2",0.0545675195753574,-0.0054324804246426,1,0,0,0,0,0,0,0,0,0,0,1,1,2
"131","3",-0.00881562102586031,-0.0188156210258603,0,1,0,0,0,0,0,0,0,0,0,1,1,2
"132","4",0.13031704723835,0.13031704723835,0,0,1,0,0,0,0,0,0,0,0,1,1,2
"133","5",-0.0533698089420795,-0.0633698089420795,0,0,0,1,0,0,0,0,0,0,0,1,1,2
"134","6",0.119624122977257,0.079624122977257,0,0,0,0,1,0,0,0,0,0,0,1,1,2
"135","7",-0.123950943350792,-0.083950943350792,0,0,0,0,0,1,0,0,0,0,0,1,1,2
"136","8",-0.128960952162743,-0.168960952162743,0,0,0,0,0,0,1,0,0,0,0,1,1,2
"137","9",-0.0520304404199123,0.0279695595800877,0,0,0,0,0,0,0,1,0,0,0,1,1,2
"138","10",-0.153949171304703,-0.183949171304703,0,0,0,0,0,0,0,0,1,0,0,1,1,2
"139","11",-0.448839634656906,-0.438839634656906,0,0,0,0,0,0,0,0,0,1,0,1,1,2
"140","12",-0.00956932362169027,-0.00956932362169027,0,0,0,0,0,0,0,0,0,0,1,1,1,2
"141","2",0.216105997562408,0.096105997562408,1,0,0,0,0,0,0,0,0,0,0,1,3,3
"142","3",0.093042716383934,0.133042716383934,0,1,0,0,0,0,0,0,0,0,0,1,3,3
"143","4",0.211656466126442,0.111656466126442,0,0,1,0,0,0,0,0,0,0,0,1,3,3
"144","5",-0.137974694371223,-0.097974694371223,0,0,0,1,0,0,0,0,0,0,0,1,3,3
"145","6",-0.0763582959771156,-0.0263582959771156,0,0,0,0,1,0,0,0,0,0,0,1,3,3
"146","7",-0.318759948015213,-0.158759948015213,0,0,0,0,0,1,0,0,0,0,0,1,3,3
"147","8",0.18903149664402,0.22903149664402,0,0,0,0,0,0,1,0,0,0,0,1,3,3
"148","9",-0.0745828598737717,0.0754171401262283,0,0,0,0,0,0,0,1,0,0,0,1,3,3
"149","10",0.217391222715378,0.097391222715378,0,0,0,0,0,0,0,0,1,0,0,1,3,3
"150","11",-0.051393661648035,-0.031393661648035,0,0,0,0,0,0,0,0,0,1,0,1,3,3
"151","12",-0.266299396753311,-0.156299396753311,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"152","2",-0.341494858264923,-0.321494858264923,1,0,0,0,0,0,0,0,0,0,0,1,2,2
"153","3",0.551859021186829,0.301859021186829,0,1,0,0,0,0,0,0,0,0,0,1,2,2
"154","4",0.535939514636993,0.345939514636993,0,0,1,0,0,0,0,0,0,0,0,1,2,2
"155","5",-0.00574717950075865,0.0442528204992414,0,0,0,1,0,0,0,0,0,0,0,1,2,2
"156","6",-0.134599521756172,-0.184599521756172,0,0,0,0,1,0,0,0,0,0,0,1,2,2
"157","7",-0.0438930429518223,-0.0638930429518223,0,0,0,0,0,1,0,0,0,0,0,1,2,2
"158","8",0.225548818707466,0.195548818707466,0,0,0,0,0,0,1,0,0,0,0,1,2,2
"159","9",0.0504885911941528,0.0104885911941528,0,0,0,0,0,0,0,1,0,0,0,1,2,2
"160","10",-0.0759689584374428,-0.0259689584374428,0,0,0,0,0,0,0,0,1,0,0,1,2,2
"161","11",0.341442912817001,0.201442912817001,0,0,0,0,0,0,0,0,0,1,0,1,2,2
"162","12",-0.115697279572487,-0.145697279572487,0,0,0,0,0,0,0,0,0,0,1,1,2,2
"163","2",0.0206641871482134,0.0306641871482134,1,0,0,0,0,0,0,0,0,0,0,1,2,3
"164","3",0.0556760989129543,0.0856760989129543,0,1,0,0,0,0,0,0,0,0,0,1,2,3
"165","4",-0.119178131222725,-0.079178131222725,0,0,1,0,0,0,0,0,0,0,0,1,2,3
"166","5",-0.0863141268491745,-0.0163141268491745,0,0,0,1,0,0,0,0,0,0,0,1,2,3
"167","6",-0.104680813848972,-0.124680813848972,0,0,0,0,1,0,0,0,0,0,0,1,2,3
"168","7",0.231939107179642,0.201939107179642,0,0,0,0,0,1,0,0,0,0,0,1,2,3
"169","8",-0.0416666641831398,-0.0016666641831398,0,0,0,0,0,0,1,0,0,0,0,1,2,3
"170","9",0.0410628207027912,-0.0589371792972088,0,0,0,0,0,0,0,1,0,0,0,1,2,3
"171","10",-0.078112930059433,-0.058112930059433,0,0,0,0,0,0,0,0,1,0,0,1,2,3
"172","11",-0.103187963366508,-0.133187963366508,0,0,0,0,0,0,0,0,0,1,0,1,2,3
"173","12",-0.00748362252488732,-0.0674836225248873,0,0,0,0,0,0,0,0,0,0,1,1,2,3
"174","1",-0.0829406380653381,-0.112940638065338,0,0,0,0,0,0,0,0,0,0,0,1,3,3
"175","2",-0.137718319892883,-0.047718319892883,1,0,0,0,0,0,0,0,0,0,0,1,3,3
"176","3",0.0381406061351299,0.0581406061351299,0,1,0,0,0,0,0,0,0,0,0,1,3,3
"177","4",0.262916177511215,0.202916177511215,0,0,1,0,0,0,0,0,0,0,0,1,3,3
"178","5",-0.156363666057587,-0.216363666057587,0,0,0,1,0,0,0,0,0,0,0,1,3,3
"179","6",0.0366379469633102,0.0366379469633102,0,0,0,0,1,0,0,0,0,0,0,1,3,3
"180","7",-0.0311850514262915,-0.0611850514262915,0,0,0,0,0,1,0,0,0,0,0,1,3,3
"181","8",-0.110514998435974,-0.110514998435974,0,0,0,0,0,0,1,0,0,0,0,1,3,3
"182","9",-0.0144752580672503,-0.0044752580672503,0,0,0,0,0,0,0,1,0,0,0,1,3,3
"183","10",-0.358629167079925,-0.208629167079925,0,0,0,0,0,0,0,0,1,0,0,1,3,3
"184","11",-0.166030526161194,-0.106030526161194,0,0,0,0,0,0,0,0,0,1,0,1,3,3
"185","12",-0.171624720096588,0.028375279903412,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"186","1",-0.108433738350868,-0.178433738350868,0,0,0,0,0,0,0,0,0,0,0,1,3,3
"187","2",0.0945945978164673,-0.00540540218353271,1,0,0,0,0,0,0,0,0,0,0,1,3,3
"188","3",0.0493827164173126,0.0293827164173126,0,1,0,0,0,0,0,0,0,0,0,1,3,3
"189","4",-0.0235294122248888,-0.0335294122248888,0,0,1,0,0,0,0,0,0,0,0,1,3,3
"190","5",-0.00408240966498852,-0.00408240966498852,0,0,0,1,0,0,0,0,0,0,0,1,3,3
"191","6",-0.0121212117373943,-0.0821212117373943,0,0,0,0,1,0,0,0,0,0,0,1,3,3
"192","7",-0.0736196339130402,-0.0736196339130402,0,0,0,0,0,1,0,0,0,0,0,1,3,3
"193","8",-0.0794702023267746,-0.0594702023267746,0,0,0,0,0,0,1,0,0,0,0,1,3,3
"194","9",-0.0287769790738821,-0.0687769790738821,0,0,0,0,0,0,0,1,0,0,0,1,3,3
"195","10",0.0148148145526648,0.0048148145526648,0,0,0,0,0,0,0,0,1,0,0,1,3,3
"196","11",0.0170329920947552,0.0470329920947552,0,0,0,0,0,0,0,0,0,1,0,1,3,3
"197","12",-0.0575539581477642,-0.0875539581477642,0,0,0,0,0,0,0,0,0,0,1,1,3,3
"198","1",0.160305336117744,0.100305336117744,0,0,0,0,0,0,0,0,0,0,0,1,1,4
"199","3",-0.0289017334580421,-0.0489017334580421,0,1,0,0,0,0,0,0,0,0,0,1,1,4
"200","4",-0.0238095242530107,-0.0538095242530107,0,0,1,0,0,0,0,0,0,0,0,1,1,4
"201","5",-0.033557903021574,-0.063557903021574,0,0,0,1,0,0,0,0,0,0,0,1,1,4
"202","6",0.189873412251473,0.169873412251473,0,0,0,0,1,0,0,0,0,0,0,1,1,4
"203","7",0.0797872319817543,0.0397872319817543,0,0,0,0,0,1,0,0,0,0,0,1,1,4
"204","8",-0.0492610819637775,-0.0592610819637775,0,0,0,0,0,0,1,0,0,0,0,1,1,4
"205","9",0.0259067360311747,0.0059067360311747,0,0,0,0,0,0,0,1,0,0,0,1,1,4
"206","10",0.0808080807328224,0.100808080732822,0,0,0,0,0,0,0,0,1,0,0,1,1,4
"207","11",0.193989649415016,0.163989649415016,0,0,0,0,0,0,0,0,0,1,0,1,1,4
"208","12",-0.00784313771873713,-0.00784313771873713,0,0,0,0,0,0,0,0,0,0,1,1,1,4
"209","1",-0.126436784863472,-0.216436784863472,0,0,0,0,0,0,0,0,0,0,0,2,1,2
"210","2",0.0657894760370255,-0.144210523962975,1,0,0,0,0,0,0,0,0,0,0,2,1,2
"211","3",-0.00617283955216408,-0.126172839552164,0,1,0,0,0,0,0,0,0,0,0,2,1,2
"212","4",-0.0434782616794109,-0.0934782616794109,0,0,1,0,0,0,0,0,0,0,0,2,1,2
"213","5",0.0866750627756119,0.0366750627756119,0,0,0,1,0,0,0,0,0,0,0,2,1,2
"214","6",0.071856290102005,0.061856290102005,0,0,0,0,1,0,0,0,0,0,0,2,1,2
"215","7",0.0335195548832417,0.0135195548832417,0,0,0,0,0,1,0,0,0,0,0,2,1,2
"216","8",-0.0594594590365887,-0.0994594590365887,0,0,0,0,0,0,1,0,0,0,0,2,1,2
"217","9",0.00574712641537189,-0.00425287358462811,0,0,0,0,0,0,0,1,0,0,0,2,1,2
"218","10",0.142857149243355,0.092857149243355,0,0,0,0,0,0,0,0,1,0,0,2,1,2
"219","11",0.0317552015185356,0.0217552015185356,0,0,0,0,0,0,0,0,0,1,0,2,1,2
"220","12",0.0833632200956345,0.103363220095635,0,0,0,0,0,0,0,0,0,0,1,2,1,2
"221","1",-0.0179372206330299,-0.17793722063303,0,0,0,0,0,0,0,0,0,0,0,2,2,1
"222","2",0.00456620985642076,-0.0754337901435792,1,0,0,0,0,0,0,0,0,0,0,2,2,1
"223","3",-0.0909090936183929,-0.100909093618393,0,1,0,0,0,0,0,0,0,0,0,2,2,1
"224","4",-0.0900000035762787,-0.0800000035762787,0,0,1,0,0,0,0,0,0,0,0,2,2,1
"225","5",0.0907692313194275,0.0507692313194275,0,0,0,1,0,0,0,0,0,0,0,2,2,1
"226","6",0.121212124824524,0.131212124824524,0,0,0,0,1,0,0,0,0,0,0,2,2,1
"227","7",0.0405405387282372,-0.0094594612717628,0,0,0,0,0,1,0,0,0,0,0,2,2,1
"228","8",0.0692640691995621,0.0792640691995621,0,0,0,0,0,0,1,0,0,0,0,2,2,1
"229","9",-0.020242914557457,-0.040242914557457,0,0,0,0,0,0,0,1,0,0,0,2,2,1
"230","10",-0.0206611566245556,-0.0206611566245556,0,0,0,0,0,0,0,0,1,0,0,2,2,1
"231","11",-0.0526582263410091,-0.0926582263410091,0,0,0,0,0,0,0,0,0,1,0,2,2,1
"232","12",0.107142858207226,0.067142858207226,0,0,0,0,0,0,0,0,0,0,1,2,2,1
"233","2",-0.094170406460762,-0.074170406460762,1,0,0,0,0,0,0,0,0,0,0,4,1,1
"234","3",0.00495049497112632,0.0549504949711263,0,1,0,0,0,0,0,0,0,0,0,4,1,1
"235","4",-0.0935960561037064,-0.103596056103706,0,0,1,0,0,0,0,0,0,0,0,4,1,1
"236","5",0.0782608687877655,0.0682608687877655,0,0,0,1,0,0,0,0,0,0,0,4,1,1
"237","6",-0.035353533923626,-0.035353533923626,0,0,0,0,1,0,0,0,0,0,0,4,1,1
"238","7",-0.0575916245579719,-0.0675916245579719,0,0,0,0,0,1,0,0,0,0,0,4,1,1
"239","8",0.00555555569007993,-0.0144444443099201,0,0,0,0,0,0,1,0,0,0,0,4,1,1
"240","9",0.176795586943626,0.186795586943626,0,0,0,0,0,0,0,1,0,0,0,4,1,1
"241","10",-0.103286385536194,-0.093286385536194,0,0,0,0,0,0,0,0,1,0,0,4,1,1
"242","11",-0.118324607610703,-0.108324607610703,0,0,0,0,0,0,0,0,0,1,0,4,1,1
"243","12",0.0595238097012043,0.0595238097012043,0,0,0,0,0,0,0,0,0,0,1,4,1,1
"244","1",0.1137440726161,0.0737440726161,0,0,0,0,0,0,0,0,0,0,0,4,1,1
"245","2",0.0297872349619865,0.0197872349619865,1,0,0,0,0,0,0,0,0,0,0,4,1,1
"246","3",0.00413223123177886,-0.0158677687682211,0,1,0,0,0,0,0,0,0,0,0,4,1,1
"247","4",0.00823045242577791,-0.0117695475742221,0,0,1,0,0,0,0,0,0,0,0,4,1,1
"248","5",0.0308571420609951,0.0008571420609951,0,0,0,1,0,0,0,0,0,0,0,4,1,1
"249","6",-0.138888895511627,-0.138888895511627,0,0,0,0,1,0,0,0,0,0,0,4,1,1
"250","7",0.0276497695595026,0.0476497695595026,0,0,0,0,0,1,0,0,0,0,0,4,1,1
"251","8",-0.0313901342451572,-0.0713901342451572,0,0,0,0,0,0,1,0,0,0,0,4,1,1
"252","9",-0.0694444477558136,-0.0894444477558136,0,0,0,0,0,0,0,1,0,0,0,4,1,1
"253","10",0.0398009940981865,0.0298009940981865,0,0,0,0,0,0,0,0,1,0,0,4,1,1
"254","11",0.151004791259766,0.111004791259766,0,0,0,0,0,0,0,0,0,1,0,4,1,1
"255","12",-0.0416666679084301,-0.0616666679084301,0,0,0,0,0,0,0,0,0,0,1,4,1,1
"256","2",0.0511627905070782,0.0411627905070782,1,0,0,0,0,0,0,0,0,0,0,3,2,1
"257","3",-0.159292042255402,-0.139292042255402,0,1,0,0,0,0,0,0,0,0,0,3,2,1
"258","4",-0.0578947365283966,-0.0578947365283966,0,0,1,0,0,0,0,0,0,0,0,3,2,1
"259","5",0.132067039608955,0.082067039608955,0,0,0,1,0,0,0,0,0,0,0,3,2,1
"260","6",-0.13366337120533,-0.17366337120533,0,0,0,0,1,0,0,0,0,0,0,3,2,1
"261","7",0.0428571440279484,0.0028571440279484,0,0,0,0,0,1,0,0,0,0,0,3,2,1
"262","8",-0.00273972610011697,-0.00273972610011697,0,0,0,0,0,0,1,0,0,0,0,3,2,1
"263","9",0.085164837539196,0.025164837539196,0,0,0,0,0,0,0,1,0,0,0,3,2,1
"264","10",-0.167088612914085,-0.147088612914085,0,0,0,0,0,0,0,0,1,0,0,3,2,1
"265","11",-0.190638303756714,-0.190638303756714,0,0,0,0,0,0,0,0,0,1,0,3,2,1
"266","12",0.124528303742409,0.094528303742409,0,0,0,0,0,0,0,0,0,0,1,3,2,1
"267","2",-0.00322580640204251,-0.0432258064020425,1,0,0,0,0,0,0,0,0,0,0,3,4,2
"268","3",0.119741097092629,0.089741097092629,0,1,0,0,0,0,0,0,0,0,0,3,4,2
"269","4",0.0375722534954548,0.0375722534954548,0,0,1,0,0,0,0,0,0,0,0,3,4,2
